logo,name,lastname,body,product,quantity,price
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-6-1.png" alt="" class="wp-image-46"/></figure>,Nancy,Stonehocker,Congratulations on your order! We're as excited as you are at PayPal.,BTC-Bitcon,0.025,$458.33 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-5-1.png" alt="" class="wp-image-40"/></figure>,Dennya,Correa,Congratulations! Your order is confirmed and in progress with PayPal.,(BTC)Bitcoin,0.025,$152.35 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-2.png" alt="" class="wp-image-52"/></figure>,Justin,Hulet,We appreciate your purchase through PayPal. Get ready for an amazing shopping experience!,(BTC)Bitcoin,0.025,$458.33 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-4-1.png" alt="" class="wp-image-37"/></figure>,Jim,Woolett,Thank you for choosing PayPal for your purchase. Your order is confirmed and in progress.,Bitcoin(BTC),0.025,$458.33 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-5-2.png" alt="" class="wp-image-43"/></figure>,Pam,Mastos,Your order has been successfully placed. We appreciate your trust in PayPal.,BTC/Bitcoin,0.025,$220.76 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-5-1.png" alt="" class="wp-image-40"/></figure>,Crystal,Cooke,Congratulations! Your order is confirmed and in progress with PayPal.,Bitcoin/BTC,0.025,$399.11 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-3-1.png" alt="" class="wp-image-61"/></figure>,Amanda,Deleon,Congratulations on your purchase through PayPal. Your order is on its way!,Bitcoin/BTC,0.025,$451.65 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-2.png" alt="" class="wp-image-64"/></figure>,randall,peterson,We're excited to fulfill your order. Thank you for trusting PayPal.,Bitcoin(BTC),0.025,$451.65 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-3-1.png" alt="" class="wp-image-34"/></figure>,Nicholas,Mallis,Congratulations on your order! We're as excited as you are at PayPal.,BTC(Bitcoin),0.025,$152.35 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-6.png" alt="" class="wp-image-73"/></figure>,mark,garrison,We're delighted to have received your order. Thank you for choosing PayPal!,(Bitcoin)BTC,0.025,$152.35 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-7-1.png" alt="" class="wp-image-49"/></figure>,Miguel,Turner,We appreciate your order through PayPal. Get ready for a fantastic shopping experience!,BTC/Bitcoin,0.025,$399.11 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-7-1.png" alt="" class="wp-image-49"/></figure>,Kaili,Elkins,We're delighted to have received your order. Thank you for choosing PayPal!,Bitcoin(BTC),0.025,$220.76 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-4-1.png" alt="" class="wp-image-37"/></figure>,david,auston,Thank you for placing your order with PayPal. We're thrilled to serve you.,BTC/Bitcoin,0.025,$399.11 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-2.png" alt="" class="wp-image-64"/></figure>,Noe,Rgz,Your order has been successfully placed. We appreciate your trust in PayPal.,BTC,0.025,$548.66 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-2.png" alt="" class="wp-image-52"/></figure>,Alicia,fields,We appreciate your order through PayPal. Get ready for a fantastic shopping experience!,(Bitcoin)BTC,0.025,$152.35 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-7-1.png" alt="" class="wp-image-49"/></figure>,Kira,Lazore,Thank you for choosing PayPal. Your order has been received and is being processed.,Bitcoin(BTC),0.025,$152.35 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-5-1.png" alt="" class="wp-image-40"/></figure>,Donna,Easler,Congratulations on your order! We're as excited as you are at PayPal.,BTC-Bitcon,0.025,$253.11 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-4-1.png" alt="" class="wp-image-37"/></figure>,Cecile,Geenen,Thank you for placing your order with PayPal. We're thrilled to serve you.,BTC(Bitcoin),0.025,$152.35 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-7-1.png" alt="" class="wp-image-49"/></figure>,Olivia,Williams,Congratulations on your purchase! Thank you for choosing PayPal as your payment provider.,Bitcoin(BTC),0.025,$152.43 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-5-1.png" alt="" class="wp-image-40"/></figure>,Damion,Gonzales,We appreciate your order through PayPal. Get ready for a fantastic shopping experience!,(Bitcoin)BTC,0.025,$458.33 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-5-1.png" alt="" class="wp-image-40"/></figure>,Brittany,Davis,Your order has been successfully placed. We appreciate your trust in PayPal.,(Bitcoin)BTC,0.025,$455.54 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-4-1.png" alt="" class="wp-image-37"/></figure>,victoria,harrah,Thank you for trusting PayPal with your order. We can't wait for you to receive it!,Bitcoin(BTC),0.025,$152.43 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-6-1.png" alt="" class="wp-image-46"/></figure>,NANCY,LOSEY,Congratulations on your order! We're as excited as you are at PayPal.,BTC-Bitcon,0.025,$450.76 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-3-1.png" alt="" class="wp-image-61"/></figure>,April,Rettela,Your order has been successfully placed. We appreciate your trust in PayPal.,BTC-Bitcon,0.025,$220.76 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-5-1.png" alt="" class="wp-image-70"/></figure>,jeannie,wagner,Your order has been successfully placed with PayPal. Get ready for a great shopping experience!,BTC(Bitcoin),0.025,$451.65 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-4-1.png" alt="" class="wp-image-37"/></figure>,mary jane,anderson,Congratulations on your purchase through PayPal. Your order is on its way!,BTC,0.025,$450.76 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-2.png" alt="" class="wp-image-52"/></figure>,Linda,Michel,We're thrilled to have processed your order successfully. Get ready for an amazing shopping experience!,Bitcoin/BTC,0.025,$451.65 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-1.png" alt="" class="wp-image-19"/></figure>,Christine,Clifton,Congratulations on your purchase! Thank you for choosing PayPal as your payment provider.,Bitcoin/BTC,0.025,$152.43 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-3-1.png" alt="" class="wp-image-61"/></figure>,April,Terando,Your order has been successfully placed with PayPal. Get ready for a great shopping experience!,(BTC)Bitcoin,0.025,$253.11 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-6-1.png" alt="" class="wp-image-46"/></figure>,Staci,Bell,We're excited to fulfill your order. Thank you for trusting PayPal.,Bitcoin/BTC,0.025,$458.33 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-5-1.png" alt="" class="wp-image-70"/></figure>,Shenae,Steen,Thank you for placing your order. We're excited to fulfill it with PayPal.,BTC/Bitcoin,0.025,$152.43 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-2.png" alt="" class="wp-image-52"/></figure>,John,Sylvia,Thank you for choosing PayPal. Your order is confirmed and on its way!,Bitcoin/BTC,0.025,$156.98 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-5-1.png" alt="" class="wp-image-70"/></figure>,Shilah,Masse,We appreciate your purchase through PayPal. Get ready for an amazing shopping experience!,BTC,0.025,$451.65 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-4-1.png" alt="" class="wp-image-67"/></figure>,Vicki,Mabray,Your order has been successfully placed with PayPal. Get ready for a great shopping experience!,BTC-Bitcon,0.025,$455.54 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-4-1.png" alt="" class="wp-image-37"/></figure>,carlos emilio,cruz,We're delighted to have received your order. Thank you for choosing PayPal!,BTC(Bitcoin),0.025,$451.65 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-6.png" alt="" class="wp-image-73"/></figure>,Thomas,Wolfe,Congratulations! Your order is confirmed and in progress with PayPal.,(Bitcoin)BTC,0.025,$450.76 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-5-2.png" alt="" class="wp-image-43"/></figure>,Jennette,Quinones,Thank you for placing your order with PayPal. We're as excited as you are!,BTC(Bitcoin),0.025,$156.98 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-2.png" alt="" class="wp-image-64"/></figure>,ashlee,steele,Your order with PayPal is confirmed. We hope you're eagerly awaiting its arrival!,Bitcoin(BTC),0.025,$455.54 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-5-2.png" alt="" class="wp-image-43"/></figure>,Kristyn,Harris,We're thrilled to have processed your order successfully. Get ready for an amazing shopping experience!,BTC(Bitcoin),0.025,$399.11 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-6-1.png" alt="" class="wp-image-46"/></figure>,Kim,Furnari,We appreciate your order through PayPal. Get ready for a fantastic shopping experience!,(BTC)Bitcoin,0.025,$451.65 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-4-1.png" alt="" class="wp-image-37"/></figure>,Emily,Alvarez,Congratulations on your purchase through PayPal. Your order is on its way!,BTC,0.025,$399.11 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-7-1.png" alt="" class="wp-image-49"/></figure>,Felipe,Forero,Thank you for trusting PayPal with your purchase. Your order has been received and is being processed.,BTC,0.025,$450.76 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-5-1.png" alt="" class="wp-image-70"/></figure>,Tracy,Kessinger,Your order has been successfully placed with PayPal. Get ready for a great shopping experience!,BTC,0.025,$220.76 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-5-2.png" alt="" class="wp-image-43"/></figure>,Lynn,Reale,We appreciate your order through PayPal. Get ready for a fantastic shopping experience!,Bitcoin(BTC),0.025,$451.65 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-4-1.png" alt="" class="wp-image-67"/></figure>,Timothy,Kramer,We appreciate your order through PayPal. Get ready for a fantastic shopping experience!,Bitcoin/BTC,0.025,$152.35 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-3-1.png" alt="" class="wp-image-34"/></figure>,Charlott,Nagai,We appreciate your purchase through PayPal. Get ready for an amazing shopping experience!,BTC,0.025,$253.11 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-1.png" alt="" class="wp-image-19"/></figure>,Frances,Vann,We're delighted to have received your order. Thank you for choosing PayPal!,(BTC)Bitcoin,0.025,$458.33 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-5-2.png" alt="" class="wp-image-43"/></figure>,Keeper,Merrill,Thank you for trusting PayPal with your order. We can't wait for you to receive it!,Bitcoin(BTC),0.025,$455.54 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-2.png" alt="" class="wp-image-64"/></figure>,Patricia,Smith,Thank you for choosing PayPal for your purchase. Your order is confirmed and in progress.,BTC/Bitcoin,0.025,$450.76 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-3-1.png" alt="" class="wp-image-61"/></figure>,Idania,Empie,We appreciate your business. Your order has been successfully processed through PayPal.,Bitcoin/BTC,0.025,$152.35 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-3-1.png" alt="" class="wp-image-34"/></figure>,vianey,luna,Your order has been successfully placed. We appreciate your trust in PayPal.,Bitcoin(BTC),0.025,$451.65 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-5-1.png" alt="" class="wp-image-70"/></figure>,William,Cahill,Congratulations on your purchase through PayPal. Your order is on its way!,BTC(Bitcoin),0.025,$455.54 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-1.png" alt="" class="wp-image-19"/></figure>,tanya,treadwell,We're delighted to have received your order. Thank you for choosing PayPal!,(Bitcoin)BTC,0.025,$451.65 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-5-2.png" alt="" class="wp-image-43"/></figure>,Grant,Jonas,We appreciate your order through PayPal. Get ready for a fantastic shopping experience!,BTC(Bitcoin),0.025,$220.76 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-3-1.png" alt="" class="wp-image-34"/></figure>,April,Hansen,Thank you for your order. We're grateful for your business and excited to fulfill it.,Bitcoin(BTC),0.025,$450.76 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-7-1.png" alt="" class="wp-image-49"/></figure>,Donna,Catalano,Thank you for choosing PayPal for your purchase. Your order is confirmed and in progress.,Bitcoin(BTC),0.025,$152.35 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-7-1.png" alt="" class="wp-image-49"/></figure>,Nancy,German,Thank you for placing your order. We're excited to fulfill it with PayPal.,Bitcoin(BTC),0.025,$220.76 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-3-1.png" alt="" class="wp-image-61"/></figure>,Torrance,sm,Thank you for placing your order with PayPal. We're thrilled to serve you.,(Bitcoin)BTC,0.025,$458.33 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-3-1.png" alt="" class="wp-image-61"/></figure>,Zhamya,Wills,We're thrilled to have received your order through PayPal. Thank you for your business!,BTC-Bitcon,0.025,$253.11 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-1-1.png" alt="" class="wp-image-57"/></figure>,riley,hull,Thank you for choosing PayPal. Your order has been received and is being processed.,BTC,0.025,$458.33 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-5-1.png" alt="" class="wp-image-40"/></figure>,Barbara,Lewis,Thank you for placing your order. We're excited to fulfill it with PayPal.,(Bitcoin)BTC,0.025,$548.66 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-2.png" alt="" class="wp-image-52"/></figure>,john,sherick,Your order with PayPal is confirmed. We hope you're eagerly awaiting its arrival!,Bitcoin/BTC,0.025,$451.65 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-3-1.png" alt="" class="wp-image-34"/></figure>,Candace,weathers,Thank you for your order. We're grateful for your business and excited to fulfill it.,BTC(Bitcoin),0.025,$450.76 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-1-1.png" alt="" class="wp-image-57"/></figure>,Alexis,Fundora,Thank you for choosing PayPal. Your order has been received and is being processed.,BTC(Bitcoin),0.025,$220.76 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-1.png" alt="" class="wp-image-19"/></figure>,chase,longo,We appreciate your business. Your order has been successfully processed through PayPal.,BTC-Bitcon,0.025,$154.66 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-1-1.png" alt="" class="wp-image-57"/></figure>,PAMELA,USERA,Thank you for choosing PayPal for your purchase. Your order is confirmed and in progress.,BTC/Bitcoin,0.025,$451.65 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-1-1.png" alt="" class="wp-image-57"/></figure>,Taylor,Hyslop,Congratulations on your purchase! Thank you for choosing PayPal as your payment provider.,Bitcoin(BTC),0.025,$455.54 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-6.png" alt="" class="wp-image-73"/></figure>,Criselda,Tijerina Cuevas,We're excited to fulfill your order. Thank you for trusting PayPal.,(Bitcoin)BTC,0.025,$154.66 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-1.png" alt="" class="wp-image-19"/></figure>,Matthew,Olivera,Thank you for choosing PayPal! Your order has been successfully placed. We can't wait for you to receive it!,(BTC)Bitcoin,0.025,$399.11 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-3-1.png" alt="" class="wp-image-61"/></figure>,Kerrie,Day,Congratulations on your order! We're as excited as you are at PayPal.,(Bitcoin)BTC,0.025,$156.98 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-2.png" alt="" class="wp-image-52"/></figure>,Martha,White,Thank you for placing your order with PayPal. We're thrilled to serve you.,(Bitcoin)BTC,0.025,$253.11 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-5-1.png" alt="" class="wp-image-40"/></figure>,Michael,Hall,Your order has been successfully placed with PayPal. Get ready for a great shopping experience!,Bitcoin/BTC,0.025,$451.65 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-6.png" alt="" class="wp-image-73"/></figure>,tiffanni,phillips,We're delighted to have received your order. Thank you for choosing PayPal!,(BTC)Bitcoin,0.025,$156.98 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-5-1.png" alt="" class="wp-image-70"/></figure>,Darcy,Schrimpf,We appreciate your order through PayPal. Get ready for a fantastic shopping experience!,BTC/Bitcoin,0.025,$154.66 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-6-1.png" alt="" class="wp-image-46"/></figure>,Lori,Grell,We're excited to fulfill your order. Thank you for trusting PayPal.,(Bitcoin)BTC,0.025,$220.76 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-7-1.png" alt="" class="wp-image-49"/></figure>,Amy,Smith,Thank you for trusting PayPal with your order. We can't wait for you to receive it!,BTC/Bitcoin,0.025,$451.65 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-2.png" alt="" class="wp-image-64"/></figure>,Rebecca,Ash,Thank you for placing your order with PayPal. We're thrilled to serve you.,BTC,0.025,$451.65 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-6-1.png" alt="" class="wp-image-46"/></figure>,Rosita,Pena,Thank you for trusting PayPal with your order. We can't wait for you to receive it!,(Bitcoin)BTC,0.025,$451.65 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-1.png" alt="" class="wp-image-19"/></figure>,Ronald,Smith,Congratulations on your order! We're as excited as you are at PayPal.,Bitcoin/BTC,0.025,$458.33 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-5-2.png" alt="" class="wp-image-43"/></figure>,Renita,Ingersoll,Your order has been successfully placed with PayPal. Get ready for a great shopping experience!,BTC,0.025,$451.65 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-2.png" alt="" class="wp-image-52"/></figure>,STEVEN,MCGRATH,We appreciate your order through PayPal. Get ready for a fantastic shopping experience!,Bitcoin/BTC,0.025,$450.76 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-2.png" alt="" class="wp-image-64"/></figure>,Sandra,Lawrence,Thank you for trusting PayPal with your order. We can't wait for you to receive it!,Bitcoin(BTC),0.025,$451.65 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-4-1.png" alt="" class="wp-image-37"/></figure>,erika,glosson,We're excited to fulfill your order. Thank you for trusting PayPal.,BTC(Bitcoin),0.025,$152.43 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-7-1.png" alt="" class="wp-image-49"/></figure>,Aqouea,Powell,Thank you for choosing PayPal. Your order is confirmed and on its way!,BTC/Bitcoin,0.025,$253.11 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-4-1.png" alt="" class="wp-image-67"/></figure>,Antony,Wangsanata,Thank you for trusting PayPal with your purchase. Your order has been received and is being processed.,Bitcoin/BTC,0.025,$156.98 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-6.png" alt="" class="wp-image-73"/></figure>,Toni,Putman,Thank you for placing your order with PayPal. We're as excited as you are!,(Bitcoin)BTC,0.025,$450.76 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-1-1.png" alt="" class="wp-image-57"/></figure>,Edwin,Morales,Thank you for trusting PayPal with your order. We can't wait for you to receive it!,BTC(Bitcoin),0.025,$455.54 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-3-1.png" alt="" class="wp-image-34"/></figure>,Cathy,Lacombe,Congratulations! Your order is confirmed and in progress with PayPal.,BTC,0.025,$451.65 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-4-1.png" alt="" class="wp-image-37"/></figure>,Joseph,Johnson,We appreciate your purchase through PayPal. Get ready for an amazing shopping experience!,BTC(Bitcoin),0.025,$220.76 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-5-2.png" alt="" class="wp-image-43"/></figure>,Dawn,Slayton,We're thrilled to have received your order through PayPal. Thank you for your business!,Bitcoin(BTC),0.025,$548.66 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-3-1.png" alt="" class="wp-image-34"/></figure>,Beatriz,Herrera,Your order with PayPal is confirmed. We hope you're eagerly awaiting its arrival!,Bitcoin(BTC),0.025,$253.11 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-5-1.png" alt="" class="wp-image-70"/></figure>,Jonathan,Garr,Thank you for choosing PayPal for your purchase. Your order is confirmed and in progress.,BTC/Bitcoin,0.025,$220.76 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-1.png" alt="" class="wp-image-19"/></figure>,darrell,brooke,Thank you for placing your order with PayPal. We're thrilled to serve you.,BTC-Bitcon,0.025,$451.65 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-3-1.png" alt="" class="wp-image-34"/></figure>,robert,Esquivel,Thank you for choosing PayPal for your purchase. Your order is confirmed and in progress.,BTC/Bitcoin,0.025,$152.35 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-4-1.png" alt="" class="wp-image-37"/></figure>,Katryna,Carter,Thank you for your order. We're grateful for your business and excited to fulfill it.,BTC,0.025,$451.65 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-7-1.png" alt="" class="wp-image-49"/></figure>,Samrat,Upadhaya,Thank you for placing your order with PayPal. We're thrilled to serve you.,BTC,0.025,$152.43 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-4-1.png" alt="" class="wp-image-67"/></figure>,Sunday,West,Thank you for placing your order. We're excited to fulfill it with PayPal.,Bitcoin/BTC,0.025,$451.65 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-1.png" alt="" class="wp-image-19"/></figure>,Amanda,Najpauer,Thank you for choosing PayPal for your purchase. Your order is confirmed and in progress.,Bitcoin/BTC,0.025,$455.54 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-3-1.png" alt="" class="wp-image-61"/></figure>,Jessica,Cogley,We appreciate your business. Your order has been successfully processed through PayPal.,(Bitcoin)BTC,0.025,$156.98 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-2.png" alt="" class="wp-image-52"/></figure>,Regina,Norton,We're delighted to have received your order. Thank you for choosing PayPal!,(Bitcoin)BTC,0.025,$152.43 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-7-1.png" alt="" class="wp-image-49"/></figure>,Charles,Lockridge,Congratulations on your order! We're as excited as you are at PayPal.,BTC,0.025,$220.76 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-1-1.png" alt="" class="wp-image-57"/></figure>,Karlie,Oliver,Thank you for choosing PayPal. Your order is confirmed and on its way!,BTC/Bitcoin,0.025,$458.33 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-3-1.png" alt="" class="wp-image-34"/></figure>,Kimberly,Williams,Thank you for placing your order with PayPal. We're thrilled to serve you.,BTC,0.025,$458.33 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-3-1.png" alt="" class="wp-image-34"/></figure>,Jillian,Pena,Congratulations! Your order is confirmed and in progress with PayPal.,BTC,0.025,$154.66 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-2.png" alt="" class="wp-image-64"/></figure>,Stacey,Blessing,Thank you for placing your order. We're excited to fulfill it with PayPal.,BTC/Bitcoin,0.025,$458.33 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-1-1.png" alt="" class="wp-image-57"/></figure>,Samara,Hicks,Thank you for choosing PayPal. Your order is confirmed and on its way!,BTC,0.025,$451.65 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-2.png" alt="" class="wp-image-52"/></figure>,frederick,mcdaniel,Congratulations on your purchase! Thank you for choosing PayPal as your payment provider.,BTC-Bitcon,0.025,$548.66 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-2.png" alt="" class="wp-image-52"/></figure>,blue,berry,Thank you for choosing PayPal for your purchase. Your order is confirmed and in progress.,BTC-Bitcon,0.025,$154.66 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-2.png" alt="" class="wp-image-64"/></figure>,Adam,Moul,Thank you for your order. We're grateful for your business and excited to fulfill it.,BTC/Bitcoin,0.025,$220.76 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-5-1.png" alt="" class="wp-image-40"/></figure>,Cindy,SanMiguel,We appreciate your purchase through PayPal. Get ready for an amazing shopping experience!,BTC-Bitcon,0.025,$451.65 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-5-2.png" alt="" class="wp-image-43"/></figure>,Sara,Swiokla,Congratulations on your purchase through PayPal. Your order is on its way!,Bitcoin(BTC),0.025,$451.65 
